TITLE;YEAR;IMDB RATING;USER RATINGS
Um Sonho de Liberdade;1994;9.2; 2,520,357
O Poderoso Chefão;1972;9.1; 1,735,431
O Poderoso Chefão II;1974;9.0; 1,204,239
Batman: O Cavaleiro das Trevas;2008;9.0; 2,470,694
12 Homens e uma Sentença;1957;8.9; 744,335
A Lista de Schindler;1993;8.9; 1,288,294
O Senhor dos Anéis: O Retorno do Rei;2003;8.9; 1,740,032
Pulp Fiction: Tempo de Violência;1994;8.8; 1,942,380
Três Homens em Conflito;1966;8.8; 728,888
O Senhor dos Anéis: A Sociedade do Anel;2001;8.8; 1,761,159
Clube da Luta;1999;8.7; 1,982,235
Forrest Gump: O Contador de Histórias;1994;8.7; 1,945,063
A Origem;2010;8.7; 2,215,529
O Senhor dos Anéis: As Duas Torres;2002;8.7; 1,572,443
O Império Contra-Ataca;1980;8.7; 1,224,675
Matrix;1999;8.6; 1,814,565
Os Bons Companheiros;1990;8.6; 1,090,527
Homem-Aranha: Sem Volta para Casa;2021;8.6; 356,917
Um Estranho no Ninho;1975;8.6; 967,005
Os Sete Samurais;1954;8.6; 333,465
Seven: Os Sete Crimes Capitais;1995;8.6; 1,547,242
O Silêncio dos Inocentes;1991;8.6; 1,355,883
A Felicidade Não se Compra;1946;8.6; 436,590
Cidade de Deus;2002;8.6; 730,481
A Vida é Bela;1997;8.6; 663,189
O Resgate do Soldado Ryan;1998;8.6; 1,316,124
Guerra nas Estrelas;1977;8.5; 1,296,277
Interestelar;2014;8.5; 1,666,807
A Viagem de Chihiro;2001;8.5; 710,382
À Espera de um Milagre;1999;8.5; 1,226,207
Parasita;2019;8.5; 701,645
O Profissional;1994;8.5; 1,101,880
Harakiri;1962;8.5; 51,216
O Pianista;2002;8.5; 785,839
O Exterminador do Futuro 2 - O Julgamento Final;1991;8.5; 1,048,846
De Volta para o Futuro;1985;8.5; 1,134,245
Os Suspeitos;1995;8.5; 1,043,011
Psicose;1960;8.5; 641,270
O Rei Leão;1994;8.5; 1,001,039
Tempos Modernos;1936;8.5; 232,369
Túmulo dos Vagalumes;1988;8.5; 258,705
A Outra História Americana;1998;8.5; 1,080,072
Whiplash: Em Busca da Perfeição;2014;8.5; 782,373
Gladiador;2000;8.5; 1,424,124
Luzes da Cidade;1931;8.5; 178,511
Os Infiltrados;2006;8.5; 1,260,925
Intocáveis;2011;8.5; 812,089
O Grande Truque;2006;8.5; 1,266,937
Casablanca;1942;8.4; 550,319
Era uma Vez no Oeste;1968;8.4; 318,507
Janela Indiscreta;1954;8.4; 472,453
Cinema Paradiso;1988;8.4; 249,558
Alien - O 8º Passageiro;1979;8.4; 837,366
Apocalypse Now;1979;8.4; 639,491
Amnésia;2000;8.4; 1,185,775
Os Caçadores da Arca Perdida;1981;8.4; 929,075
O Grande Ditador;1940;8.4; 216,130
Django Livre;2012;8.4; 1,457,364
A Vida dos Outros;2006;8.4; 377,509
Glória Feita de Sangue;1957;8.4; 189,859
Crepúsculo dos Deuses;1950;8.4; 214,070
WALL·E;2008;8.4; 1,060,085
Vingadores: Guerra Infinita;2018;8.4; 963,486
Testemunha de Acusação;1957;8.4; 119,122
O Iluminado;1980;8.4; 963,178
Homem-Aranha no Aranhaverso;2018;8.4; 457,610
Dr. Fantástico;1964;8.4; 473,174
Princesa Mononoke;1997;8.3; 372,270
Oldboy;2003;8.3; 550,677
Coringa;2019;8.3; 1,122,208
Your Name.;2016;8.3; 235,733
Viva: A Vida é uma Festa;2017;8.3; 451,750
Batman: O Cavaleiro das Trevas Ressurge;2012;8.3; 1,605,276
Aliens: O Resgate;1986;8.3; 688,492
Era uma Vez na América;1984;8.3; 335,648
Vingadores: Ultimato;2019;8.3; 988,931
Cafarnaum;2018;8.3; 79,792
O Barco: Inferno no Mar;1981;8.3; 243,522
Céu E Inferno;1963;8.3; 41,019
3 Idiotas;2009;8.3; 375,274
Toy Story;1995;8.3; 942,633
Amadeus;1984;8.3; 387,240
Beleza Americana;1999;8.3; 1,116,851
Coração Valente;1995;8.3; 1,000,475
Bastardos Inglórios;2009;8.3; 1,359,972
Hamilton;2020;8.3; 79,982
Gênio Indomável;1997;8.3; 917,259
Star Wars, Episódio VI: O Retorno do Jedi;1983;8.3; 1,001,417
2001: Uma Odisséia no Espaço;1968;8.3; 639,825
Vá e Veja;1985;8.3; 70,829
Cães de Aluguel;1992;8.3; 972,320
Como Estrelas na Terra;2007;8.3; 184,066
Um Corpo que Cai;1958;8.3; 387,922
M, o Vampiro de Dusseldorf;1931;8.3; 152,716
Cidadão Kane;1941;8.3; 427,855
A Caça;2012;8.3; 310,837
Réquiem para um Sonho;2000;8.3; 805,886
Cantando na Chuva;1952;8.3; 232,456
Intriga Internacional;1959;8.3; 316,642
Brilho Eterno de uma Mente sem Lembranças;2004;8.3; 962,074
Viver;1952;8.3; 75,071
Ladrões de Bicicletas;1948;8.3; 157,964
Lawrence da Arábia;1962;8.3; 283,368
O Garoto;1921;8.2; 122,079
Nascido para Matar;1987;8.2; 711,234
Dangal;2016;8.2; 176,145
Incêndios;2010;8.2; 167,117
Se Meu Apartamento Falasse;1960;8.2; 174,916
Pacto de Sangue;1944;8.2; 151,865
Metrópolis;1927;8.2; 168,962
Meu Pai;2020;8.2; 115,284
Taxi Driver: Motorista de Táxi;1976;8.2; 775,929
Laranja Mecânica;1971;8.2; 796,691
A Separação;2011;8.2; 235,306
Golpe de Mestre;1973;8.2; 253,546
Scarface;1983;8.2; 792,497
Snatch: Porcos e Diamantes;2000;8.2; 822,953
1917;2019;8.2; 520,677
